OBJECTID,TAZ_zone97,District,Regions
1,396,14,19
2,364,13,50
3,363,13,50
4,362,13,50
5,669,5,98
6,659,21,105
7,529,22,108
8,501,21,107
9,530,22,108
10,658,21,107
11,482,21,107
12,528,22,108
13,684,22,108
14,531,22,108
15,610,22,108
16,611,22,108
17,613,22,108
18,645,14,19
19,595,9,105
20,596,21,105
21,662,21,105
22,663,21,105
23,661,21,105
24,660,21,105
25,490,21,105
26,668,5,98
27,667,5,98
28,519,5,98
29,609,22,108
30,679,22,108
31,680,22,108
32,674,22,108
33,673,22,108
34,672,22,108
35,675,22,108
36,676,22,108
37,682,22,108
38,683,22,108
39,677,22,108
40,686,22,108
41,483,21,107
42,681,22,108
43,678,22,108
44,560,1,61
45,558,1,61
46,556,1,61
47,555,1,63
48,552,1,64
49,551,1,64
50,280,3,3
51,279,3,3
52,335,4,58
53,333,4,48
54,332,4,48
55,330,4,48
56,329,4,58
57,327,4,47
58,326,4,47
59,324,4,58
60,323,4,58
61,319,4,58
62,403,14,20
63,402,14,20
64,398,14,20
65,397,14,20
66,395,14,19
67,386,14,19
68,385,14,19
69,384,14,19
70,380,14,19
71,379,13,51
72,378,13,51
73,377,13,51
74,376,13,49
75,375,13,51
76,374,13,51
77,373,13,51
78,369,13,49
79,368,13,49
80,367,13,49
81,366,13,49
82,365,13,50
83,361,13,50
84,360,13,51
85,355,8,54
86,354,8,54
87,353,8,54
88,349,8,54
89,348,8,54
90,347,8,54
91,346,8,54
92,345,8,54
93,344,8,54
94,343,8,53
95,338,8,54
96,337,8,53
97,336,8,53
98,186,7,71
99,185,7,71
100,182,7,55
101,359,8,52
102,358,8,52
103,356,8,52
104,352,8,52
105,350,8,52
106,342,8,53
107,341,8,53
108,340,8,53
109,328,4,47
110,322,4,47
111,321,4,47
112,320,4,47
113,317,4,46
114,316,4,46
115,315,4,46
116,314,4,46
117,312,4,58
118,311,4,58
119,310,4,57
120,308,4,59
121,306,4,59
122,302,4,56
123,301,4,56
124,299,4,57
125,298,4,59
126,297,4,59
127,296,4,60
128,293,4,60
129,291,4,60
130,290,4,56
131,370,13,49
132,546,1,70
133,548,1,66
134,545,1,70
135,544,1,68
136,543,1,68
137,542,1,68
138,541,1,67
139,540,1,67
140,539,1,65
141,538,1,66
142,536,1,70
143,535,1,70
144,534,1,68
145,533,1,68
146,532,1,67
147,278,3,3
148,276,3,69
149,254,2,86
150,394,14,18
151,393,14,18
152,392,14,18
153,372,13,50
154,371,13,50
155,192,7,55
156,191,7,74
157,190,7,74
158,189,7,74
159,188,7,74
160,184,7,55
161,181,7,55
162,180,7,74
163,179,7,74
164,178,7,74
165,177,7,74
