,SOURCE_ID,TAZ_zone97,COType,TargetAudi
0,50.0,551,HH,6461.0
1,51.0,280,HH,8849.0
2,52.0,279,HH,12578.0
3,131.0,293,HH,3131.0
4,137.0,545,HH,4347.0
5,138.0,544,HH,2356.0
6,139.0,543,HH,1516.0
7,140.0,542,HH,14734.0
8,141.0,541,HH,6462.0
9,142.0,540,HH,11817.0
10,143.0,539,HH,7345.0
11,144.0,538,HH,9522.0
12,145.0,536,HH,6867.0
13,146.0,535,HH,14878.0
14,147.0,534,HH,9863.0
15,148.0,533,HH,1804.0
16,149.0,532,HH,8529.0
17,150.0,278,HH,6655.0
18,151.0,276,HH,3158.0
19,152.0,254,HH,5964.0
20,198.0,139,HH,8235.0
21,204.0,132,HH,7341.0
22,262.0,305,HH,2613.0
23,264.0,303,HH,3938.0
24,265.0,292,HH,3648.0
25,267.0,285,HH,2987.0
26,270.0,281,HH,14652.0
27,271.0,270,HH,8389.0
28,272.0,269,HH,6509.0
29,300.0,235,HH,3549.0
30,346.0,566,HH,6426.0
31,352.0,239,HH,4435.0
32,353.0,253,HH,13709.0
33,358.0,295,HH,9627.0
34,378.0,537,HH,1461.0
35,379.0,547,HH,7998.0
36,380.0,549,HH,3691.0
37,381.0,554,HH,4937.0
38,382.0,550,HH,3611.0
39,383.0,557,HH,12631.0
40,391.0,577,HH,12164.0
41,393.0,277,HH,9063.0
42,394.0,287,HH,2716.0
43,397.0,271,HH,8552.0
44,398.0,268,HH,6025.0
45,399.0,266,HH,3285.0
46,400.0,265,HH,8149.0
47,402.0,263,HH,3683.0
48,445.0,632,HH,8097.0
49,446.0,267,HH,11631.0
50,457.0,249,HH,8695.0
51,460.0,251,HH,6705.0
52,462.0,628,HH,3674.0
53,464.0,630,HH,9962.0
54,465.0,553,HH,8346.0
55,467.0,559,HH,6515.0
56,468.0,687,HH,10062.0
57,470.0,634,HH,5443.0
58,471.0,286,HH,4939.0
59,475.0,142,HH,3889.0
60,,396,,
61,,364,,
62,,363,,
63,,362,,
64,,669,,
65,,659,,
66,,529,,
67,,501,,
68,,530,,
69,,658,,
70,,482,,
71,,528,,
72,,684,,
73,,531,,
74,,610,,
75,,611,,
76,,613,,
77,,645,,
78,,688,,
79,,595,,
80,,596,,
81,,662,,
82,,663,,
83,,661,,
84,,660,,
85,,490,,
86,,668,,
87,,667,,
88,,519,,
89,,609,,
90,,679,,
91,,680,,
92,,674,,
93,,673,,
94,,672,,
95,,675,,
96,,676,,
97,,682,,
98,,683,,
99,,677,,
100,,686,,
101,,483,,
102,,681,,
103,,678,,
104,,560,,
105,,558,,
106,,556,,
107,,555,,
108,,552,,
109,,335,,
110,,333,,
111,,332,,
112,,330,,
113,,329,,
114,,327,,
115,,326,,
116,,324,,
117,,323,,
118,,319,,
119,,408,,
120,,406,,
121,,403,,
122,,402,,
123,,398,,
124,,397,,
125,,395,,
126,,386,,
127,,385,,
128,,384,,
129,,380,,
130,,379,,
131,,378,,
132,,377,,
133,,376,,
134,,375,,
135,,374,,
136,,373,,
137,,369,,
138,,368,,
139,,367,,
140,,366,,
141,,365,,
142,,361,,
143,,360,,
144,,355,,
145,,354,,
146,,353,,
147,,349,,
148,,348,,
149,,347,,
150,,346,,
151,,345,,
152,,344,,
153,,343,,
154,,338,,
155,,337,,
156,,336,,
157,,186,,
158,,185,,
159,,182,,
160,,359,,
161,,358,,
162,,356,,
163,,352,,
164,,350,,
165,,342,,
166,,341,,
167,,340,,
168,,328,,
169,,322,,
170,,321,,
171,,320,,
172,,317,,
173,,316,,
174,,315,,
175,,314,,
176,,312,,
177,,311,,
178,,310,,
179,,308,,
180,,306,,
181,,302,,
182,,301,,
183,,299,,
184,,298,,
185,,297,,
186,,296,,
187,,291,,
188,,290,,
189,,370,,
190,,546,,
191,,548,,
192,,394,,
193,,393,,
194,,392,,
195,,372,,
196,,371,,
197,,192,,
198,,191,,
199,,190,,
200,,189,,
201,,188,,
202,,184,,
203,,181,,
204,,180,,
205,,179,,
206,,178,,
207,,177,,
208,,176,,
209,,175,,
210,,174,,
211,,173,,
212,,172,,
213,,171,,
214,,170,,
215,,169,,
216,,168,,
217,,167,,
218,,166,,
219,,165,,
220,,164,,
221,,163,,
222,,162,,
223,,161,,
224,,160,,
225,,158,,
226,,157,,
227,,156,,
228,,155,,
