,SOURCE_ID,TAZ_zone97,COType,TargetAudi,WOM_BTW_10,WOM_BTW_15,zone97,SocialClass
0,50.0,551,HH,629.0,313,316,551,B
1,51.0,280,HH,893.0,383,510,280,B
2,52.0,279,HH,1283.0,568,715,279,B
3,131.0,293,HH,333.0,142,191,293,A
4,137.0,545,HH,388.0,166,222,545,B
5,138.0,544,HH,153.0,61,92,544,B
6,139.0,543,HH,99.0,37,62,543,B
7,140.0,542,HH,1325.0,587,738,542,B
8,141.0,541,HH,589.0,261,328,541,B
9,142.0,540,HH,1137.0,480,657,540,B
10,143.0,539,HH,633.0,287,346,539,B
11,144.0,538,HH,789.0,332,457,538,B
12,145.0,536,HH,670.0,311,359,536,A
13,146.0,535,HH,1429.0,632,797,535,B
14,147.0,534,HH,805.0,359,446,534,B
15,148.0,533,HH,136.0,54,82,533,B
16,149.0,532,HH,791.0,338,453,532,B
17,150.0,278,HH,674.0,288,386,278,B
18,151.0,276,HH,277.0,128,149,276,B
19,152.0,254,HH,668.0,276,392,254,A
20,198.0,139,HH,862.0,368,494,139,B
21,204.0,132,HH,678.0,313,365,132,B
22,262.0,305,HH,229.0,91,138,305,B
23,264.0,303,HH,390.0,184,206,303,B
24,265.0,292,HH,361.0,173,188,292,B
25,267.0,285,HH,260.0,108,152,285,B
26,270.0,281,HH,1611.0,701,910,281,B
27,271.0,270,HH,815.0,326,489,270,B
28,272.0,269,HH,646.0,277,369,269,A
29,300.0,235,HH,319.0,144,175,235,A
30,346.0,566,HH,549.0,219,330,566,B
31,352.0,239,HH,440.0,157,283,239,A
32,353.0,253,HH,1244.0,575,669,253,B
33,358.0,295,HH,995.0,450,545,295,B
34,378.0,537,HH,137.0,53,84,537,B
35,379.0,547,HH,700.0,317,383,547,B
36,380.0,549,HH,319.0,149,170,549,B
37,381.0,554,HH,502.0,205,297,554,B
38,382.0,550,HH,335.0,158,177,550,A
39,383.0,557,HH,1292.0,596,696,557,B
40,391.0,577,HH,1153.0,561,592,577,B
41,393.0,277,HH,875.0,406,469,277,B
42,394.0,287,HH,223.0,94,129,287,B
43,397.0,271,HH,749.0,341,408,271,B
44,398.0,268,HH,638.0,278,360,268,B
45,399.0,266,HH,241.0,104,137,266,B
46,400.0,265,HH,671.0,299,372,265,B
47,402.0,263,HH,314.0,136,178,263,B
48,445.0,632,HH,732.0,337,395,632,B
49,446.0,267,HH,978.0,431,547,267,B
50,457.0,249,HH,840.0,386,454,249,A
51,460.0,251,HH,616.0,290,326,251,B
52,462.0,628,HH,327.0,150,177,628,A
53,464.0,630,HH,933.0,402,531,630,A
54,465.0,553,HH,600.0,259,341,553,B
55,467.0,559,HH,779.0,326,453,559,B
56,468.0,687,HH,1246.0,511,735,687,B
57,470.0,634,HH,584.0,286,298,634,B
58,471.0,286,HH,405.0,182,223,286,B
59,475.0,142,HH,330.0,146,184,142,B
