,SOURCE_ID,TAZ_zone97,COType,TargetAudi,WOM_BTW_0_,WOM_BTW_5_,WOM_BTW_10,WOM_BTW_15,WOM_BTW_20,WOM_BTW_25,WOM_BTW_30,WOM_BTW_35,WOM_BTW_40,WOM_BTW_45,WOM_BTW_50,WOM_BTW_55,WOM_BTW_60,WOM_BTW_65,WOM_BTW_70,zone97,SocialClass
0,50.0,551,HH,6461.0,231,256,313,316,483,560,631,562,440,495,520,516,453,365,320,551,B
1,51.0,280,HH,8849.0,306,332,383,510,543,855,1040,796,642,695,790,705,505,431,316,280,B
2,52.0,279,HH,12578.0,540,505,568,715,846,1122,1362,1172,910,972,1047,1004,742,605,468,279,B
3,131.0,293,HH,3131.0,133,131,142,191,239,296,304,286,253,266,264,210,183,142,91,293,A
4,137.0,545,HH,4347.0,190,157,166,222,291,411,462,347,312,305,355,390,314,240,185,545,B
5,138.0,544,HH,2356.0,70,75,61,92,151,209,279,211,155,166,219,226,205,154,83,544,B
6,139.0,543,HH,1516.0,66,37,37,62,88,150,181,133,98,105,122,152,131,100,54,543,B
7,140.0,542,HH,14734.0,544,566,587,738,920,1325,1764,1385,1010,1040,1227,1161,1098,835,534,542,B
8,141.0,541,HH,6462.0,245,274,261,328,369,519,754,624,448,474,533,506,449,389,289,541,B
9,142.0,540,HH,11817.0,447,436,480,657,822,1102,1320,1081,855,875,1001,924,751,621,445,540,B
10,143.0,539,HH,7345.0,278,232,287,346,509,617,847,686,506,533,577,605,578,453,291,539,B
11,144.0,538,HH,9522.0,319,370,332,457,622,889,1017,849,660,685,782,848,712,564,416,538,B
12,145.0,536,HH,6867.0,256,319,311,359,453,635,729,614,469,512,485,571,538,372,244,536,A
13,146.0,535,HH,14878.0,535,610,632,797,1035,1430,1590,1346,1026,1108,1233,1218,1054,747,517,535,B
14,147.0,534,HH,9863.0,316,322,359,446,619,834,1087,851,705,667,881,912,820,637,407,534,B
15,148.0,533,HH,1804.0,75,87,54,82,110,171,191,136,93,148,163,165,144,95,90,533,B
16,149.0,532,HH,8529.0,317,332,338,453,557,875,991,754,594,651,729,624,545,465,304,532,B
17,150.0,278,HH,6655.0,268,269,288,386,431,625,728,715,544,499,527,497,403,293,182,278,B
18,151.0,276,HH,3158.0,106,92,128,149,176,266,350,289,181,230,236,299,306,202,148,276,B
19,152.0,254,HH,5964.0,188,221,276,392,391,525,619,518,433,463,520,456,477,320,165,254,A
20,198.0,139,HH,8235.0,253,305,368,494,518,604,813,780,664,679,741,677,550,464,325,139,B
21,204.0,132,HH,7341.0,258,284,313,365,425,610,882,742,530,549,557,544,536,413,333,132,B
22,262.0,305,HH,2613.0,90,85,91,138,168,248,295,233,170,211,218,227,188,129,122,305,B
23,264.0,303,HH,3938.0,161,137,184,206,255,357,402,360,279,336,372,291,231,205,162,303,B
24,265.0,292,HH,3648.0,120,181,173,188,275,305,366,347,288,301,289,285,221,161,148,292,B
25,267.0,285,HH,2987.0,104,93,108,152,173,249,319,292,186,222,242,256,223,225,143,285,B
26,270.0,281,HH,14652.0,609,586,701,910,1071,1281,1446,1285,1070,1201,1263,1127,861,690,551,281,B
27,271.0,270,HH,8389.0,316,345,326,489,622,714,898,775,603,653,750,663,479,404,352,270,B
28,272.0,269,HH,6509.0,245,293,277,369,434,579,719,587,488,517,565,540,431,282,183,269,A
29,300.0,235,HH,3549.0,76,81,144,175,191,329,413,285,213,205,323,409,374,220,111,235,A
