OBJECTID,Regions,District,Shape_Length,Shape_Area,XCentroid,YCentroid
1,1,13,11200.32667,1012188.067,1092855.493,3973167.032
2,2,3,9909.300287,4175790.11,1083512.858,3977739.528
3,3,3,9280.010291,3485982.608,1083779.301,3979368.824
4,4,16,7859.476944,3626905.064,1081963.461,3962961.474
5,5,16,6481.497512,2487052.295,1081837.475,3964497.189
6,6,20,8972.819218,2778762.875,1081361.679,3959122.393
7,7,20,7475.621703,2508985.684,1084210.766,3958742.118
8,8,20,17673.54199,5952156.629,1083901.022,3956898.132
9,9,20,7939.660977,3362557.178,1084423.693,3960760.944
10,10,15,11897.85615,6547804.02,1087385.225,3961482.794
11,11,15,10080.67206,3353513.215,1088709.852,3962901.078
12,12,15,8069.784009,2864645.001,1088081.297,3964525.98
13,13,15,10833.78065,6565112.571,1084526.769,3962700.74
14,14,15,8911.315329,4894742.886,1086395.494,3964372.718
15,15,15,8799.497394,4470042.99,1083939.192,3964756.541
16,16,14,5965.783464,1770055.95,1084646.919,3966288.151
17,17,14,7555.395833,2952628.018,1086597.587,3965969.703
18,18,14,6766.67991,2873621.93,1084493.357,3967797.444
19,19,14,8224.405511,3880698.938,1086014.289,3967830.76
20,20,14,7993.616272,3205882.919,1087359.979,3967953.553
21,21,12,7448.853886,2602680.598,1081442.714,3965690.761
22,22,12,7543.924048,2640907.09,1081412.562,3966700.445
23,23,12,7474.902786,2290679.117,1083280.256,3966578.89
24,24,12,7094.613454,2504307.411,1081761.158,3967650.779
25,25,13,6610.839697,2462841.347,1083151.182,3968967.602
26,26,12,7955.827234,3650791.12,1081522.794,3969077.202
27,27,16,8126.569568,2985972.745,1079575.823,3964446.256
28,28,16,6225.528044,2395248.624,1080052.109,3963191.27
29,29,16,7283.343307,2628957.87,1081769.593,3961508.102
30,30,16,8201.6658,2567665.295,1080384.822,3961396.762
31,31,20,10842.81155,5850196.706,1082736.145,3959505.503
32,32,19,12250.38272,1803759.489,1075221.9,3961388.791
33,33,19,9952.692348,3133428.608,1077025.026,3962056.093
34,34,19,12849.93648,6650772.143,1078628.214,3962374.709
35,35,11,7036.285765,2818185.338,1079646.816,3967160.657
36,36,11,6701.021449,2775514.977,1079610.358,3968991.824
37,37,11,8716.327116,3727052.301,1078214.945,3968073.803
38,38,11,7660.812066,2843075.239,1078947.815,3965712.654
39,39,17,7818.953694,2415372.771,1077306.44,3965149.81
40,40,17,7574.463985,2960677.38,1076163.812,3963732.263
41,41,17,7899.966019,2645567.232,1075475.742,3965111.019
42,42,18,8653.757244,3434357.556,1073911.642,3964670.529
43,43,18,13635.13459,3538074.907,1074468.78,3962596.176
44,44,18,15146.25657,7928203.804,1070812.187,3965150.468
45,45,4,14755.34426,7315846.801,1095276.12,3974414.956
46,46,4,9167.586547,3643245.413,1088744.138,3974707.438
47,47,4,8977.147099,4038668.778,1091039.636,3975036.374
48,48,4,10456.30119,5096233.913,1093015.714,3974890.567
49,49,13,9507.878219,2860666.309,1087306.874,3969966.008
50,50,13,10415.79111,5021555.943,1085306.081,3969998.556
51,51,13,11094.00508,2645920.24,1088173.667,3971483.464
52,52,8,11429.25134,5329421.368,1089170.815,3973228.24
53,53,8,7636.621755,3426216.247,1086883.762,3972949.528
54,54,8,10399.14052,4597665.043,1085611.411,3972894.864
55,55,7,10226.78687,3802689.078,1084043.779,3973267.877
56,56,4,8859.225445,3419053.174,1084550.299,3975419.127
57,57,4,7859.560844,3336211.801,1086350.952,3975233.421
58,58,4,17025.02271,10980828,1093025.355,3976937.998
59,59,4,16207.34846,12893549.32,1088976.249,3977331.888
60,60,4,15321.75359,11029601.28,1085958.926,3977997.804
61,61,4,22632.00617,11298548.58,1089036.063,3980759.319
62,62,1,11998.05363,3221469.341,1087897.909,3982415.72
63,63,1,12605.71655,4995249.681,1086117.367,3982202.899
64,64,1,6748.046672,2439423.074,1084816.825,3981112.807
65,65,1,11099.20744,3568652.257,1084054.226,3982630.633
66,66,1,14661.52337,4914474.768,1081576.432,3982567.954
67,67,1,7749.722429,3186158.687,1082957.582,3980987.833
68,68,1,11383.94588,5405899.411,1081596.57,3980089.986
69,69,3,11507.80706,5448659.735,1080769.303,3978370.012
70,70,1,17578.13423,7095692.151,1078968.586,3981129.937
71,71,7,7071.253053,2478301.606,1084537.487,3971044.226
72,72,7,7975.694368,2473174.01,1083205.327,3971125.853
73,73,7,7389.307757,2655428.634,1082213.428,3971477.892
74,74,7,8013.439331,4090326.197,1082234.413,3973491.38
75,75,3,10024.47947,6393179.726,1082070.172,3975761.208
76,76,6,6286.464723,2207262.524,1080791.431,3971992.725
77,77,6,6856.364007,2816534.027,1080713.561,3970556.617
78,78,3,12363.37785,6352801.013,1078594.355,3977462.72
79,79,3,8608.179432,3769380.012,1080020.205,3976597.551
80,80,6,8804.355511,4055309.206,1080318.889,3974073.341
81,81,6,11367.40621,4084488.268,1078794.692,3974010.024
82,82,6,9720.167352,4491842.788,1078362.158,3972220.344
83,83,6,9136.185873,3962834.898,1078708.762,3970546.831
84,84,2,10796.97264,3041539.148,1074170.514,3979355.139
85,85,2,8341.752514,3802939.296,1074498.001,3977518.566
86,86,2,18912.34961,9564640.479,1076601.993,3979218.402
87,87,2,12487.21967,8237354.434,1075995.985,3976025.176
88,88,2,11988.18942,4375594.306,1077045.381,3973101.697
89,89,2,17113.0647,7168829.762,1073662.091,3973822.664
90,90,2,12675.4799,7349070.617,1075509.603,3973149.019
91,91,2,6801.18869,2730747.062,1076223.3,3970178.641
92,92,2,8756.332697,3697855.528,1074696.006,3970421.455
93,93,10,6616.564093,2840816.604,1076833.201,3966577.66
94,94,10,8774.24155,2831453.287,1076332.052,3967544.642
95,95,10,6644.999527,2453723.088,1076414.87,3968863.407
96,96,9,15933.47198,4744553.226,1073160.877,3968588.711
97,97,9,19384.90212,14967564.64,1072235.074,3967137.331
98,98,5,11651.1891,7586833.947,1071429.239,3969925.914
99,99,5,9806.484102,5714223.139,1072235.338,3972005.17
100,100,5,22677.14184,11387582.64,1072267.671,3976750.029
101,101,5,16543.36211,9267306.428,1070518.067,3975972.047
102,102,5,33332.22858,12254716.27,1068006.162,3978012.196
103,103,5,12819.53906,6172922.57,1067712.336,3975197.608
104,104,5,12179.86099,7100828.553,1069562.26,3972430.516
105,105,21,16522.32716,15914448.37,1067337.755,3968403.396
106,106,21,17639.32118,17513667.35,1062877.559,3969186.446
107,107,21,25383.78058,18937060.88,1056695.07,3971194.367
108,108,22,60680.59427,61879642.77,1061310.913,3973322.669
109,109,18,11841.96858,3089169.666,1071826.618,3963347.177
