,SOURCE_ID,TAZ_zone97,COType,TAA_csv_TA,W0,W5,W10,W15,W20,W25,W30,W35,W40,W45,W50,W55,W60,W65,W70,zone97,SocialClass,POP,Regions
0,8.0,501,HL,6025.0,397,308,264,292,377,625,758,601,390,319,402,496,395,259,142,501,C1,12429,107.0
1,25.0,490,HH,9575.0,762,618,505,525,640,1150,1371,1015,702,722,620,409,258,169,109,490,C1,19689,105.0
2,48.0,552,HH,7535.0,273,303,341,428,584,691,775,706,567,616,610,571,483,368,219,552,C1,15450,64.0
3,49.0,551,HH,6461.0,231,256,313,316,483,560,631,562,440,495,520,516,453,365,320,551,B,13368,64.0
4,50.0,280,HH,8849.0,306,332,383,510,543,855,1040,796,642,695,790,705,505,431,316,280,B,17955,3.0
5,51.0,279,HH,12578.0,540,505,568,715,846,1122,1362,1172,910,972,1047,1004,742,605,468,279,B,25280,3.0
6,62.0,403,HH,11617.0,705,720,691,804,700,1042,1333,1219,969,992,694,547,501,425,275,403,C1,23595,20.0
7,66.0,395,HH,8130.0,506,434,440,479,520,834,1042,745,672,640,577,435,332,237,237,395,C1,16898,19.0
8,67.0,386,HH,6688.0,534,405,393,411,477,803,833,667,491,477,370,261,235,166,165,386,C1,13666,19.0
9,68.0,385,HH,5999.0,447,352,342,375,458,691,716,583,474,407,315,267,224,186,162,385,C1,12463,19.0
10,71.0,379,HH,4566.0,191,201,259,338,306,394,460,412,371,455,385,288,235,163,108,379,C1,9465,51.0
11,72.0,378,HH,6502.0,321,298,330,411,416,609,655,625,518,597,574,417,310,220,201,378,C1,13224,51.0
12,73.0,377,HH,5987.0,266,257,315,405,416,542,648,574,479,546,528,394,260,191,166,377,C1,12206,51.0
13,75.0,375,HH,6887.0,373,327,448,449,430,594,801,692,608,594,511,406,286,201,167,375,C1,14032,51.0
14,76.0,374,HH,10876.0,576,559,571,622,678,1111,1362,1162,824,920,763,628,478,365,257,374,C1,22040,51.0
15,78.0,369,HH,6169.0,282,282,381,498,429,511,571,571,548,626,533,329,244,211,153,369,C1,12484,49.0
16,79.0,368,HH,5785.0,272,290,304,497,386,503,580,568,515,509,453,326,238,188,156,368,C1,11658,49.0
