,TAZ_zone97,COType,TargetAudience_csv_TA
0,396,LL,0
1,364,LL,0
2,363,LL,0
3,362,LL,0
4,669,,0
5,659,,0
6,529,,0
7,501,,0
8,530,,0
9,658,,0
10,482,,0
11,528,,0
12,684,,0
13,531,,0
14,610,,0
15,611,,0
16,613,,0
17,645,LL,0
18,688,LL,0
19,595,,0
20,596,,0
21,662,,0
22,663,,0
23,661,,0
24,660,,0
25,490,,0
26,668,LL,0
27,667,LL,0
28,519,,0
29,609,,0
30,679,,0
31,680,,0
32,674,,0
33,673,,0
34,672,,0
35,675,,0
36,676,,0
37,682,,0
38,683,,0
39,677,,0
40,686,,0
41,483,,0
42,681,,0
43,678,,0
44,560,,0
45,558,LH,0
46,556,LH,0
47,555,LH,0
48,552,LH,0
49,551,HH,1081
50,280,HH,1462
51,279,HH,1946
52,335,,0
53,333,LL,0
54,332,LL,0
55,330,,0
56,329,,0
57,327,LL,0
58,326,LL,0
59,324,LL,0
60,323,,0
61,319,LL,0
62,408,LL,0
63,406,LL,0
64,403,LL,0
65,402,LL,0
66,398,LL,0
67,397,LL,0
68,395,LL,0
69,386,LL,0
70,385,LL,0
71,384,LL,0
72,380,LL,0
73,379,LL,0
74,378,LL,0
75,377,LL,0
76,376,LL,0
77,375,LL,0
78,374,LL,0
79,373,LL,0
80,369,LL,0
81,368,LL,0
82,367,LL,0
83,366,LL,0
84,365,LL,0
85,361,LL,0
86,360,LL,0
87,355,LL,0
88,354,LL,0
89,353,LL,0
90,349,LL,0
91,348,LL,0
92,347,LL,0
93,346,LL,0
94,345,LL,0
95,344,LL,0
96,343,LL,0
97,338,LL,0
98,337,LL,0
99,336,LL,0
100,186,LL,0
101,185,LL,0
102,182,,0
103,359,LL,0
104,358,LL,0
105,356,LL,0
106,352,LL,0
107,350,LL,0
108,342,LL,0
109,341,LL,0
110,340,LL,0
111,328,LL,0
112,322,LL,0
113,321,LL,0
114,320,LL,0
115,317,LL,0
116,316,LL,0
117,315,LL,0
118,314,LL,0
119,312,LL,0
120,311,LL,0
121,310,LL,0
122,308,LL,0
